Read Group Name GATK,Paivi Sample Name for Libraries
P12_BC9_sorted_rg,CL-44-1
P13_BC10_sorted_rg,EU-30-3
P13_BC11_sorted_rg,EU-61-1
P13_BC12_sorted_rg,EU-51-2
P13_BC13_sorted_rg,AL-9-4
P13_BC14_sorted_rg,CU-22-1
P13_BC15_sorted_rg,AL-8-4
P13_BC16_sorted_rg,EU-22-2
P13_BC17_sorted_rg,AL-8-10
P13_BC18_sorted_rg,AU-7-8
P13_BC19_sorted_rg,CL-5-3
P13_BC1_sorted_rg,CU-22-2
P13_BC20_sorted_rg,EL-77-2
P13_BC21_sorted_rg,CL-23-2
P13_BC22_sorted_rg,AL-10-12
P13_BC23_sorted_rg,EU-49-3
P13_BC24_sorted_rg,CL-28-1
P13_BC25_sorted_rg,EL-32-3
P13_BC26_sorted_rg,CU-17-3
P13_BC27_sorted_rg,EU-78-2
P13_BC28_sorted_rg,AU-11-1
P13_BC29_sorted_rg,EL-60-1
P13_BC2_sorted_rg,CL-37-3
P13_BC30_sorted_rg,EL-5-3
P13_BC31_sorted_rg,CU-59-1
P13_BC32_sorted_rg,CL-60-1
P13_BC33_sorted_rg,EL-80-1
P13_BC34_sorted_rg,EL-78-1
P13_BC35_sorted_rg,CL-35-2
P13_BC36_sorted_rg,CU-20-1
P13_BC37_sorted_rg,EL-58-2
P13_BC38_sorted_rg,EU-78-1
P13_BC39_sorted_rg,EL-31-2
P13_BC3_sorted_rg,EL-87-2
P13_BC40_sorted_rg,EL-61-1
P13_BC41_sorted_rg,EU-35-1
P13_BC42_sorted_rg,EL-32-1
P13_BC43_sorted_rg,AU-2-7-R
P13_BC44_sorted_rg,CU-16-1
P13_BC45_sorted_rg,CU-44-1
P13_BC46_sorted_rg,EL-64-2
P13_BC47_sorted_rg,EL-37-3
P13_BC48_sorted_rg,AU-5-2
P13_BC4_sorted_rg,CU-3-3
P13_BC5_sorted_rg,EL-54-2
P13_BC6_sorted_rg,EL-94-1
P13_BC7_sorted_rg,AU-12-6
P13_BC8_sorted_rg,AU-25-4
P13_BC9_sorted_rg,EU-18-2
P14_BC10_sorted_rg,CU-19-2
P14_BC11_sorted_rg,AU-4-7
P14_BC12_sorted_rg,AL-4-3
P14_BC13_sorted_rg,EL-96-2
P14_BC14_sorted_rg,EL-95-1
P14_BC15_sorted_rg,U-1-1
P14_BC16_sorted_rg,U-1-2
P14_BC17_sorted_rg,EU-47-1
P14_BC18_sorted_rg,AU-1-7
P14_BC19_sorted_rg,CU-32-2
P14_BC1_sorted_rg,EU-21-3
P14_BC20_sorted_rg,CL-29-3
P14_BC21_sorted_rg,EL-50-2
P14_BC22_sorted_rg,EU-77-1
P14_BC23_sorted_rg,AU-15-2
P14_BC24_sorted_rg,EU-79-1
P14_BC25_sorted_rg,CL-51-2
P14_BC26_sorted_rg,EL-68-2
P14_BC27_sorted_rg,EU-76-2
P14_BC28_sorted_rg,EU-33-1
P14_BC29_sorted_rg,AU-4-1
P14_BC2_sorted_rg,AU-7-5
P14_BC30_sorted_rg,EL-57-1
P14_BC31_sorted_rg,EL-87-1
P14_BC32_sorted_rg,AL-9-3
P14_BC33_sorted_rg,EL-30-2
P14_BC34_sorted_rg,TRT-14
P14_BC35_sorted_rg,AU-13-5
P14_BC36_sorted_rg,EU-52-2
P14_BC37_sorted_rg,CU-12-2
P14_BC38_sorted_rg,EU-51-1
P14_BC39_sorted_rg,AU-4-8
P14_BC3_sorted_rg,CL-43-2
P14_BC40_sorted_rg,HHR-12
P14_BC41_sorted_rg,CL-63-2
P14_BC42_sorted_rg,AU-7-3
P14_BC43_sorted_rg,CL-25-2
P14_BC44_sorted_rg,CL-12-2-G
P14_BC45_sorted_rg,EU-81-1
P14_BC46_sorted_rg,EL-100-1
P14_BC47_sorted_rg,AL-2-3
P14_BC48_sorted_rg,AL-10-5
P14_BC4_sorted_rg,EL-73-2
P14_BC5_sorted_rg,EU-46-1
P14_BC6_sorted_rg,EU-1-1
P14_BC7_sorted_rg,EL-72-2
P14_BC8_sorted_rg,CL-46-2
P14_BC9_sorted_rg,AU-6-6
P15_BC10_sorted_rg,CL-47-1
P15_BC11_sorted_rg,CU-15-3
P15_BC12_sorted_rg,EU-68-2
P15_BC13_sorted_rg,AU-12-7
P15_BC14_sorted_rg,CU-21-3
P15_BC15_sorted_rg,EU-9-3
P15_BC16_sorted_rg,CL-15-3
P15_BC17_sorted_rg,CL-25-3
P15_BC18_sorted_rg,AU-32-2
P15_BC19_sorted_rg,AU-7-4
P15_BC1_sorted_rg,EU-85-1-G
P15_BC20_sorted_rg,CL-63-1
P15_BC21_sorted_rg,AU-1-6
P15_BC22_sorted_rg,CL-34-1
P15_BC23_sorted_rg,AU-1-1
P15_BC24_sorted_rg,AU-2-6
P15_BC25_sorted_rg,AU-3-4
P15_BC26_sorted_rg,EL-98-2
P15_BC27_sorted_rg,CL-12-3
P15_BC28_sorted_rg,AL-4-7
P15_BC29_sorted_rg,EL-40-2
P15_BC2_sorted_rg,CU-26-1
P15_BC30_sorted_rg,CU-5-2
P15_BC31_sorted_rg,AU-20-5
P15_BC32_sorted_rg,CU-31-2
P15_BC33_sorted_rg,AU-13-7
P15_BC34_sorted_rg,EL-33-1
P15_BC35_sorted_rg,EU-86-2
P15_BC36_sorted_rg,EU-92-2
P15_BC37_sorted_rg,EL-36-3
P15_BC38_sorted_rg,EL-76-1
P15_BC39_sorted_rg,EL-90-1
P15_BC3_sorted_rg,EU-79-2
P15_BC40_sorted_rg,CL-36-3
P15_BC41_sorted_rg,EL-73-1
P15_BC42_sorted_rg,EU-72-2
P15_BC43_sorted_rg,CL-18-2
P15_BC44_sorted_rg,AL-7-9
P15_BC45_sorted_rg,EL-84-2
P15_BC46_sorted_rg,AL-10-8
P15_BC47_sorted_rg,EU-89-2
P15_BC48_sorted_rg,AU-33-2
P15_BC4_sorted_rg,AL-10-10
P15_BC5_sorted_rg,OPN-6
P15_BC6_sorted_rg,EL-96-1
P15_BC7_sorted_rg,EL-58-1
